        X             RHO          U          P            E    
   0.6225E-01   0.1000E+01   0.9140E-16   0.1000E+01   0.1500E+01
   0.6275E-01   0.1000E+01   0.9154E-16   0.1000E+01   0.1500E+01
   0.6325E-01   0.1000E+01   0.9157E-16   0.1000E+01   0.1500E+01
   0.6375E-01   0.1000E+01   0.9157E-16   0.1000E+01   0.1500E+01
   0.6425E-01   0.1000E+01   0.9130E-16   0.1000E+01   0.1500E+01
   0.6475E-01   0.1000E+01   0.9173E-16   0.1000E+01   0.1500E+01
   0.6525E-01   0.1000E+01   0.9137E-16   0.1000E+01   0.1500E+01
   0.6575E-01   0.1000E+01   0.9151E-16   0.1000E+01   0.1500E+01
   0.6625E-01   0.1000E+01   0.9134E-16   0.1000E+01   0.1500E+01
   0.6675E-01   0.1000E+01   0.9173E-16   0.1000E+01   0.1500E+01
   0.6725E-01   0.1000E+01   0.9131E-16   0.1000E+01   0.1500E+01
   0.6775E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.6825E-01   0.1000E+01   0.9134E-16   0.1000E+01   0.1500E+01
   0.6875E-01   0.1000E+01   0.9171E-16   0.1000E+01   0.1500E+01
   0.6925E-01   0.1000E+01   0.9131E-16   0.1000E+01   0.1500E+01
   0.6975E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.7025E-01   0.1000E+01   0.9143E-16   0.1000E+01   0.1500E+01
   0.7075E-01   0.1000E+01   0.9169E-16   0.1000E+01   0.1500E+01
   0.7125E-01   0.1000E+01   0.9130E-16   0.1000E+01   0.1500E+01
   0.7175E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.7225E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.7275E-01   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.7325E-01   0.1000E+01   0.9136E-16   0.1000E+01   0.1500E+01
   0.7375E-01   0.1000E+01   0.9157E-16   0.1000E+01   0.1500E+01
   0.7425E-01   0.1000E+01   0.9168E-16   0.1000E+01   0.1500E+01
   0.7475E-01   0.1000E+01   0.9139E-16   0.1000E+01   0.1500E+01
   0.7525E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.7575E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.7625E-01   0.1000E+01   0.9157E-16   0.1000E+01   0.1500E+01
   0.7675E-01   0.1000E+01   0.9130E-16   0.1000E+01   0.1500E+01
   0.7725E-01   0.1000E+01   0.9173E-16   0.1000E+01   0.1500E+01
   0.7775E-01   0.1000E+01   0.9137E-16   0.1000E+01   0.1500E+01
   0.7825E-01   0.1000E+01   0.9151E-16   0.1000E+01   0.1500E+01
   0.7875E-01   0.1000E+01   0.9135E-16   0.1000E+01   0.1500E+01
   0.7925E-01   0.1000E+01   0.9173E-16   0.1000E+01   0.1500E+01
   0.7975E-01   0.1000E+01   0.9131E-16   0.1000E+01   0.1500E+01
   0.8025E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.8075E-01   0.1000E+01   0.9135E-16   0.1000E+01   0.1500E+01
   0.8125E-01   0.1000E+01   0.9171E-16   0.1000E+01   0.1500E+01
   0.8175E-01   0.1000E+01   0.9131E-16   0.1000E+01   0.1500E+01
   0.8225E-01   0.1000E+01   0.9156E-16   0.1000E+01   0.1500E+01
   0.8275E-01   0.1000E+01   0.9144E-16   0.1000E+01   0.1500E+01
   0.8325E-01   0.1000E+01   0.9169E-16   0.1000E+01   0.1500E+01
   0.8375E-01   0.1000E+01   0.9130E-16   0.1000E+01   0.1500E+01
   0.8425E-01   0.1000E+01   0.9525E-16   0.1000E+01   0.1500E+01
   0.8475E-01   0.1000E+01   0.1795E-15   0.1000E+01   0.1500E+01
   0.8525E-01   0.1000E+01   0.9148E-16   0.1000E+01   0.1500E+01
   0.8575E-01   0.1000E+01   0.9119E-16   0.1000E+01   0.1500E+01
   0.8625E-01   0.1000E+01   0.9173E-16   0.1000E+01   0.1500E+01
   0.8675E-01   0.1000E+01   0.9180E-16   0.1000E+01   0.1500E+01
   0.8725E-01   0.1000E+01   0.9138E-16   0.1000E+01   0.1500E+01
   0.8775E-01   0.1000E+01   0.9127E-16   0.1000E+01   0.1500E+01
   0.8825E-01   0.1000E+01   0.9169E-16   0.1000E+01   0.1500E+01
   0.8875E-01   0.1000E+01   0.9170E-16   0.1000E+01   0.1500E+01
   0.8925E-01   0.1000E+01   0.9132E-16   0.1000E+01   0.1500E+01
   0.8975E-01   0.1000E+01   0.9144E-16   0.1000E+01   0.1500E+01
   0.9025E-01   0.1000E+01   0.9149E-16   0.1000E+01   0.1500E+01
   0.9075E-01   0.1000E+01   0.9163E-16   0.1000E+01   0.1500E+01
   0.9125E-01   0.1000E+01   0.9142E-16   0.1000E+01   0.1500E+01
   0.9175E-01   0.1000E+01   0.9139E-16   0.1000E+01   0.1500E+01
   0.9225E-01   0.1000E+01   0.9141E-16   0.1000E+01   0.1500E+01
   0.9275E-01   0.1000E+01   0.9170E-16   0.1000E+01   0.1500E+01
   0.9325E-01   0.1000E+01   0.9142E-16   0.1000E+01   0.1500E+01
   0.9375E-01   0.1000E+01   0.9145E-16   0.1000E+01   0.1500E+01
   0.9425E-01   0.1000E+01   0.9133E-16   0.1000E+01   0.1500E+01
   0.9475E-01   0.1000E+01   0.9171E-16   0.1000E+01   0.1500E+01
   0.9525E-01   0.1000E+01   0.9153E-16   0.1000E+01   0.1500E+01
   0.9575E-01   0.1000E+01   0.9149E-16   0.1000E+01   0.1500E+01
   0.9625E-01   0.1000E+01   0.9124E-16   0.1000E+01   0.1500E+01
   0.9675E-01   0.1000E+01   0.9172E-16   0.1000E+01   0.1500E+01
   0.9725E-01   0.1000E+01   0.9168E-16   0.1000E+01   0.1500E+01
   0.9775E-01   0.1000E+01   0.9147E-16   0.1000E+01   0.1500E+01
   0.9825E-01   0.1000E+01   0.9120E-16   0.1000E+01   0.1500E+01
   0.9875E-01   0.1000E+01   0.9173E-16   0.1000E+01   0.1500E+01
   0.9925E-01   0.1000E+01   0.9180E-16   0.1000E+01   0.1500E+01
   0.9975E-01   0.1000E+01   0.9138E-16   0.1000E+01   0.1500E+01
   0.1003E+00   0.1000E+01   0.9497E-16   0.1000E+01   0.1500E+01
   0.1008E+00   0.1000E+01   0.1796E-15   0.1000E+01   0.1500E+01
   0.1013E+00   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.1018E+00   0.1000E+01   0.9115E-16   0.1000E+01   0.1500E+01
   0.1023E+00   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.1028E+00   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.1033E+00   0.1000E+01   0.9166E-16   0.1000E+01   0.1500E+01
   0.1038E+00   0.1000E+01   0.9108E-16   0.1000E+01   0.1500E+01
   0.1043E+00   0.1000E+01   0.9155E-16   0.1000E+01   0.1500E+01
   0.1047E+00   0.1000E+01   0.9155E-16   0.1000E+01   0.1500E+01
