        X             RHO          U          P            E    
   0.1283E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1288E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1293E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1298E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1303E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1308E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1313E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1318E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1323E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1328E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1333E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1338E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1343E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1348E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1353E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1358E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1363E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1368E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1373E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1378E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1383E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1388E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1393E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1398E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1403E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1408E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1413E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1418E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1423E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1428E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1433E+00   0.1000E+01  -0.3616E-16   0.1000E+01   0.2500E+01
   0.1438E+00   0.1000E+01   0.1682E-15   0.1000E+01   0.2500E+01
   0.1442E+00   0.1000E+01   0.9605E-16   0.1000E+01   0.2500E+01
   0.1447E+00   0.1000E+01   0.1080E-15   0.1000E+01   0.2500E+01
   0.1452E+00   0.1000E+01   0.1566E-15   0.1000E+01   0.2500E+01
   0.1457E+00   0.1000E+01   0.1077E-15   0.1000E+01   0.2500E+01
   0.1462E+00   0.1000E+01  -0.2382E-16   0.1000E+01   0.2500E+01
   0.1467E+00   0.1000E+01   0.1202E-15   0.1000E+01   0.2500E+01
   0.1472E+00   0.1000E+01   0.1080E-15   0.1000E+01   0.2500E+01
   0.1477E+00   0.1000E+01   0.1436E-15   0.1000E+01   0.2500E+01
   0.1482E+00   0.1000E+01   0.1085E-15   0.1000E+01   0.2500E+01
   0.1487E+00   0.1000E+01   0.8441E-16   0.1000E+01   0.2500E+01
   0.1492E+00   0.1000E+01  -0.9641E-16   0.1000E+01   0.2500E+01
   0.1497E+00   0.1000E+01  -0.7175E-16   0.1000E+01   0.2500E+01
   0.1502E+00   0.1000E+01   0.1675E-15   0.1000E+01   0.2500E+01
   0.1507E+00   0.1000E+01  -0.1915E-15   0.1000E+01   0.2500E+01
   0.1512E+00   0.1000E+01  -0.2170E-15   0.1000E+01   0.2500E+01
   0.1517E+00   0.1000E+01  -0.1195E-15   0.1000E+01   0.2500E+01
   0.1522E+00   0.1000E+01   0.7164E-16   0.1000E+01   0.2500E+01
   0.1527E+00   0.1000E+01   0.1204E-15   0.1000E+01   0.2500E+01
   0.1532E+00   0.1000E+01   0.8328E-16   0.1000E+01   0.2500E+01
   0.1537E+00   0.1000E+01   0.1332E-15   0.1000E+01   0.2500E+01
   0.1542E+00   0.1000E+01   0.9642E-16   0.1000E+01   0.2500E+01
   0.1547E+00   0.1000E+01  -0.9705E-16   0.1000E+01   0.2500E+01
   0.1552E+00   0.1000E+01  -0.2322E-16   0.1000E+01   0.2500E+01
   0.1557E+00   0.1000E+01  -0.1442E-15   0.1000E+01   0.2500E+01
   0.1562E+00   0.1000E+01  -0.9663E-16   0.1000E+01   0.2500E+01
   0.1568E+00   0.1000E+01   0.7315E-16   0.1000E+01   0.2500E+01
   0.1573E+00   0.1000E+01   0.1674E-15   0.1000E+01   0.2500E+01
   0.1578E+00   0.1000E+01   0.2879E-15   0.1000E+01   0.2500E+01
   0.1583E+00   0.1000E+01   0.1448E-15   0.1000E+01   0.2500E+01
   0.1588E+00   0.1000E+01   0.2375E-16   0.1000E+01   0.2500E+01
   0.1593E+00   0.1000E+01  -0.1330E-17   0.1000E+01   0.2500E+01
   0.1598E+00   0.1000E+01   0.1452E-15   0.1000E+01   0.2500E+01
   0.1603E+00   0.1000E+01  -0.2371E-16   0.1000E+01   0.2500E+01
   0.1608E+00   0.1000E+01   0.1194E-15   0.1000E+01   0.2500E+01
   0.1613E+00   0.1000E+01   0.1683E-15   0.1000E+01   0.2500E+01
